date,time,text,cleaning,case_folding,normalisasi,token,stopword_removal,steming_data,is_unique_stem,Sentiment,Score
2025-07-17,13:47:32,Ayo anak muda yg mau #KaburAjaDulu https://t.co/souhkfxUN1,Ayo anak muda yg mau,ayo anak muda yg mau,ayo anak muda yang mau,"['ayo', 'anak', 'muda', 'yang', 'mau']","['ayo', 'anak', 'muda']",ayo anak muda,True,Negatif,0
2025-07-17,13:14:45,2026 harus berhasil kaburajadulu ke Benua Eropa!! FIX BANGET INI DALAM NAMA TUHAN YESUS tweet ini akan aku retweet tahun depannnn. stay tunee!! kalian saksinya ya weeeeee!!!, harus berhasil kaburajadulu ke Benua Eropa FIX BANGET INI DALAM NAMA TUHAN YESUS tweet ini akan aku retweet tahun depannnn stay tunee kalian saksinya ya weeeeee, harus berhasil kaburajadulu ke benua eropa fix banget ini dalam nama tuhan yesus tweet ini akan aku retweet tahun depannnn stay tunee kalian saksinya ya weeeeee,harus berhasil kaburajadulu ke benua eropa fix banget ini dalam nama tuhan yesus tweet ini akan aku retweet tahun depannnn stay tunee kalian saksinya ya weeeeee,"['harus', 'berhasil', 'kaburajadulu', 'ke', 'benua', 'eropa', 'fix', 'banget', 'ini', 'dalam', 'nama', 'tuhan', 'yesus', 'tweet', 'ini', 'akan', 'aku', 'retweet', 'tahun', 'depannnn', 'stay', 'tunee', 'kalian', 'saksinya', 'ya', 'weeeeee']","['berhasil', 'kaburajadulu', 'benua', 'eropa', 'fix', 'banget', 'nama', 'tuhan', 'yesus', 'tweet', 'retweet', 'depannnn', 'stay', 'tunee', 'saksinya', 'ya', 'weeeeee']",hasil kaburajadulu benua eropa fix banget nama tuhan yesus tweet retweet depannnn stay tunee saksi ya weeeeee,True,Positif,1
2025-07-17,12:36:44,Semoga bisa ya suatu saat nanti mewujudkan cita-cita kaburajadulu ku ini,Semoga bisa ya suatu saat nanti mewujudkan citacita kaburajadulu ku ini,semoga bisa ya suatu saat nanti mewujudkan citacita kaburajadulu ku ini,semoga bisa ya suatu saat nanti mewujudkan citacita kaburajadulu ku ini,"['semoga', 'bisa', 'ya', 'suatu', 'saat', 'nanti', 'mewujudkan', 'citacita', 'kaburajadulu', 'ku', 'ini']","['semoga', 'ya', 'mewujudkan', 'citacita', 'kaburajadulu', 'ku']",moga ya wujud citacita kaburajadulu ku,True,Positif,1
2025-07-17,12:27:52,@xxxxmit apa aku harus jadi mamaknya peabutt ya biar bisa #kaburajadulu ‍↔️,apa aku harus jadi mamaknya peabutt ya biar bisa  ,apa aku harus jadi mamaknya peabutt ya biar bisa  ,apa aku harus jadi mamaknya peabutt ya biar bisa,"['apa', 'aku', 'harus', 'jadi', 'mamaknya', 'peabutt', 'ya', 'biar', 'bisa']","['mamaknya', 'peabutt', 'ya', 'biar']",mamak peabutt ya biar,True,Positif,1
2025-07-17,12:06:17,Tren ini juga bikin banyak akun medsos rame share info beasiswa lowongan kerja internasional tips adaptasi budaya dsb. Kamu sendiri gimana? Pernah kepikiran #KaburAjaDulu juga? Atau malah pengen tetap di sini dan bantu bangun ekosistem yang lebih baik?,Tren ini juga bikin banyak akun medsos rame share info beasiswa lowongan kerja internasional tips adaptasi budaya dsb Kamu sendiri gimana Pernah kepikiran  juga Atau malah pengen tetap di sini dan bantu bangun ekosistem yang lebih baik,tren ini juga bikin banyak akun medsos rame share info beasiswa lowongan kerja internasional tips adaptasi budaya dsb kamu sendiri gimana pernah kepikiran  juga atau malah pengen tetap di sini dan bantu bangun ekosistem yang lebih baik,tren ini juga bikin banyak akun medsos rame share info beasiswa lowongan kerja internasional tips adaptasi budaya dsb kamu sendiri bagaimana pernah kepikiran juga atau malah pengin tetap di sini dan bantu bangun ekosistem yang lebih baik,"['tren', 'ini', 'juga', 'bikin', 'banyak', 'akun', 'medsos', 'rame', 'share', 'info', 'beasiswa', 'lowongan', 'kerja', 'internasional', 'tips', 'adaptasi', 'budaya', 'dsb', 'kamu', 'sendiri', 'bagaimana', 'pernah', 'kepikiran', 'juga', 'atau', 'malah', 'pengin', 'tetap', 'di', 'sini', 'dan', 'bantu', 'bangun', 'ekosistem', 'yang', 'lebih', 'baik']","['tren', 'bikin', 'akun', 'medsos', 'rame', 'share', 'info', 'beasiswa', 'lowongan', 'kerja', 'internasional', 'tips', 'adaptasi', 'budaya', 'dsb', 'kepikiran', 'pengin', 'bantu', 'bangun', 'ekosistem']",tren bikin akun medsos rame share info beasiswa lowong kerja internasional tips adaptasi budaya dsb pikir pengin bantu bangun ekosistem,True,Positif,1
2025-07-17,12:04:41,Guys kalian pasti pernah liat hashtag #KaburAjaDulu yang lagi rame itu kan? Isinya cerita anak muda yang pengen angkat kaki dari Indonesia buat kuliah atau kerja di luar negeri. Kenapa ya? Yuk simak lewat thread dibawah:,Guys kalian pasti pernah liat hashtag  yang lagi rame itu kan Isinya cerita anak muda yang pengen angkat kaki dari Indonesia buat kuliah atau kerja di luar negeri Kenapa ya Yuk simak lewat thread dibawah,guys kalian pasti pernah liat hashtag  yang lagi rame itu kan isinya cerita anak muda yang pengen angkat kaki dari indonesia buat kuliah atau kerja di luar negeri kenapa ya yuk simak lewat thread dibawah,guys kalian pasti pernah lihat hashtag yang lagi rame itu kan isinya cerita anak muda yang pengin angkat kaki dari indonesia buat kuliah atau kerja di luar negeri kenapa ya yuk simak lewat thread dibawah,"['guys', 'kalian', 'pasti', 'pernah', 'lihat', 'hashtag', 'yang', 'lagi', 'rame', 'itu', 'kan', 'isinya', 'cerita', 'anak', 'muda', 'yang', 'pengin', 'angkat', 'kaki', 'dari', 'indonesia', 'buat', 'kuliah', 'atau', 'kerja', 'di', 'luar', 'negeri', 'kenapa', 'ya', 'yuk', 'simak', 'lewat', 'thread', 'dibawah']","['guys', 'lihat', 'hashtag', 'rame', 'isinya', 'cerita', 'anak', 'muda', 'pengin', 'angkat', 'kaki', 'indonesia', 'kuliah', 'kerja', 'negeri', 'ya', 'yuk', 'simak', 'thread', 'dibawah']",guys lihat hashtag rame isi cerita anak muda pengin angkat kaki indonesia kuliah kerja negeri ya yuk simak thread bawah,True,Positif,1
2025-07-17,11:43:10,@Jjasekue tau ih otw #kaburajadulu gak sih?,tau ih otw  gak sih,tau ih otw  gak sih,tau ih otw tidak sih,"['tau', 'ih', 'otw', 'tidak', 'sih']","['tau', 'ih', 'otw', 'sih']",tau ih otw sih,True,Negatif,0
2025-07-17,10:24:47,Poster pronatalitas Indonesia. Empat anak adalah bare minimum. Dua anak untuk membangun Indonesia. Satu anak KaburAjaDulu ke Singapura. Satu anaknya lagi pindah ke Eropa. https://t.co/mTFwHTLA9C,Poster pronatalitas Indonesia Empat anak adalah bare minimum Dua anak untuk membangun Indonesia Satu anak KaburAjaDulu ke Singapura Satu anaknya lagi pindah ke Eropa,poster pronatalitas indonesia empat anak adalah bare minimum dua anak untuk membangun indonesia satu anak kaburajadulu ke singapura satu anaknya lagi pindah ke eropa,poster pronatalitas indonesia empat anak adalah bare minimum dua anak untuk membangun indonesia satu anak kaburajadulu ke singapura satu anaknya lagi pindah ke eropa,"['poster', 'pronatalitas', 'indonesia', 'empat', 'anak', 'adalah', 'bare', 'minimum', 'dua', 'anak', 'untuk', 'membangun', 'indonesia', 'satu', 'anak', 'kaburajadulu', 'ke', 'singapura', 'satu', 'anaknya', 'lagi', 'pindah', 'ke', 'eropa']","['poster', 'pronatalitas', 'indonesia', 'anak', 'bare', 'minimum', 'anak', 'membangun', 'indonesia', 'anak', 'kaburajadulu', 'singapura', 'anaknya', 'pindah', 'eropa']",poster pronatalitas indonesia anak bare minimum anak bangun indonesia anak kaburajadulu singapura anak pindah eropa,True,Negatif,0
2025-07-17,00:59:48,@VDSyst3msX Sudah mengasingkan diri... #kaburajadulu aza dulu,Sudah mengasingkan diri  aza dulu,sudah mengasingkan diri  aza dulu,sudah mengasingkan diri saja dulu,"['sudah', 'mengasingkan', 'diri', 'saja', 'dulu']",['mengasingkan'],asing,True,Negatif,0
2025-07-17,00:48:22,Wajib baca #pecintakopi #kopinusantara #kopiindonesia #pecintakopinusantara #pecintakopiindonesia #kopiraja #maharajacoffee #proyek #hutang #kaburajadulu #komunitaskopi #coffeeshop #CoffeeLover #CoffeeTime #CoffeeTalk https://t.co/YTmoPDEEzh,Wajib baca,wajib baca,wajib baca,"['wajib', 'baca']","['wajib', 'baca']",wajib baca,True,Negatif,0
2025-07-16,17:26:19,kerja disini jdi ngerti ironi warga warga indonesia jdi sadar kenapa indo gk maju maju selain konsumtif mrk jg lbh gedein GENGSI daripada cari kerjaan dan bs makan tiap hari jdi makin yakin buat #kaburajadulu ,kerja disini jdi ngerti ironi warga warga indonesia jdi sadar kenapa indo gk maju maju selain konsumtif mrk jg lbh gedein GENGSI daripada cari kerjaan dan bs makan tiap hari jdi makin yakin buat,kerja disini jdi ngerti ironi warga warga indonesia jdi sadar kenapa indo gk maju maju selain konsumtif mrk jg lbh gedein gengsi daripada cari kerjaan dan bs makan tiap hari jdi makin yakin buat,kerja disini jadi mengerti ironi warga warga indonesia jadi sadar kenapa indonesia tidak maju maju selain konsumtif mereka juga lebih gedein gengsi daripada cari pekerjaan dan bisa makan tiap hari jadi makin yakin buat,"['kerja', 'disini', 'jadi', 'mengerti', 'ironi', 'warga', 'warga', 'indonesia', 'jadi', 'sadar', 'kenapa', 'indonesia', 'tidak', 'maju', 'maju', 'selain', 'konsumtif', 'mereka', 'juga', 'lebih', 'gedein', 'gengsi', 'daripada', 'cari', 'pekerjaan', 'dan', 'bisa', 'makan', 'tiap', 'hari', 'jadi', 'makin', 'yakin', 'buat']","['kerja', 'mengerti', 'ironi', 'warga', 'warga', 'indonesia', 'sadar', 'indonesia', 'maju', 'maju', 'konsumtif', 'gedein', 'gengsi', 'cari', 'pekerjaan', 'makan']",kerja erti ironi warga warga indonesia sadar indonesia maju maju konsumtif gedein gengsi cari kerja makan,True,Positif,1
2025-07-16,17:16:20,@middeude @bukanDWP biar kita #kaburajadulu ya kak,biar kita  ya kak,biar kita  ya kak,biar kita ya kak,"['biar', 'kita', 'ya', 'kak']","['biar', 'ya', 'kak']",biar ya kak,True,Positif,1
2025-07-16,16:50:26,idealisme gue buat nyari pasangan yg punya vision mau diajak #KaburAjaDulu akan tetap sama. Entah itu akan terlaksana pikir nanti. Kalau ga punya maaf skip dulu,idealisme gue buat nyari pasangan yg punya vision mau diajak  akan tetap sama Entah itu akan terlaksana pikir nanti Kalau ga punya maaf skip dulu,idealisme gue buat nyari pasangan yg punya vision mau diajak  akan tetap sama entah itu akan terlaksana pikir nanti kalau ga punya maaf skip dulu,idealisme gue buat mencari pasangan yang punya vision mau diajak akan tetap sama entah itu akan terlaksana pikir nanti kalau tidak punya maaf skip dulu,"['idealisme', 'gue', 'buat', 'mencari', 'pasangan', 'yang', 'punya', 'vision', 'mau', 'diajak', 'akan', 'tetap', 'sama', 'entah', 'itu', 'akan', 'terlaksana', 'pikir', 'nanti', 'kalau', 'tidak', 'punya', 'maaf', 'skip', 'dulu']","['idealisme', 'gue', 'mencari', 'pasangan', 'vision', 'diajak', 'terlaksana', 'pikir', 'maaf', 'skip']",idealisme gue cari pasang vision ajak laksana pikir maaf skip,True,Positif,1
2025-07-16,16:43:50,@febching kak jo pls bilangin kak kukis buka batch lagi.. demi aku buldep aku uda di taiwan pls wujudin citacitaku cobain kukis temenmu before minggat n kaburajadulu ,kak jo pls bilangin kak kukis buka batch lagi demi aku buldep aku uda di taiwan pls wujudin citacitaku cobain kukis temenmu before minggat n kaburajadulu,kak jo pls bilangin kak kukis buka batch lagi demi aku buldep aku uda di taiwan pls wujudin citacitaku cobain kukis temenmu before minggat n kaburajadulu,kak jo pls bilang kak kukis buka batch lagi demi aku buldep aku sudah di taiwan pls wujudin citacitaku mencoba kukis temenmu before minggat n kaburajadulu,"['kak', 'jo', 'pls', 'bilang', 'kak', 'kukis', 'buka', 'batch', 'lagi', 'demi', 'aku', 'buldep', 'aku', 'sudah', 'di', 'taiwan', 'pls', 'wujudin', 'citacitaku', 'mencoba', 'kukis', 'temenmu', 'before', 'minggat', 'n', 'kaburajadulu']","['kak', 'jo', 'pls', 'bilang', 'kak', 'kukis', 'buka', 'batch', 'buldep', 'taiwan', 'pls', 'wujudin', 'citacitaku', 'mencoba', 'kukis', 'temenmu', 'before', 'minggat', 'n', 'kaburajadulu']",kak jo pls bilang kak kuk buka batch buldep taiwan pls wujudin citacitaku coba kuk temenmu before minggat n kaburajadulu,True,Negatif,0
2025-07-16,16:25:43,@hoonyunki Doain aku #kaburajadulu biar bisa nyobain fangirling di Korea yaa,Doain aku  biar bisa nyobain fangirling di Korea yaa,doain aku  biar bisa nyobain fangirling di korea yaa,doain aku biar bisa mencoba fangirling di korea ya,"['doain', 'aku', 'biar', 'bisa', 'mencoba', 'fangirling', 'di', 'korea', 'ya']","['doain', 'biar', 'mencoba', 'fangirling', 'korea', 'ya']",doain biar coba fangirling korea ya,True,Positif,1
2025-07-16,13:39:30,loh gimana nasib hestek #kaburajadulu,loh gimana nasib hestek,loh gimana nasib hestek,loh bagaimana nasib hestek,"['loh', 'bagaimana', 'nasib', 'hestek']","['loh', 'nasib', 'hestek']",loh nasib hestek,True,Negatif,0
2025-07-16,13:25:32,@lolixgiggle Kaburajadulu dengan cara elegan~,Kaburajadulu dengan cara elegan,kaburajadulu dengan cara elegan,kaburajadulu dengan cara elegan,"['kaburajadulu', 'dengan', 'cara', 'elegan']","['kaburajadulu', 'elegan']",kaburajadulu elegan,True,Negatif,0
2025-07-16,13:00:04,@_akuandin Sekalian #.kaburajadulu gitu ya,Sekalian kaburajadulu gitu ya,sekalian kaburajadulu gitu ya,sekalian kaburajadulu begitu ya,"['sekalian', 'kaburajadulu', 'begitu', 'ya']","['kaburajadulu', 'ya']",kaburajadulu ya,True,Positif,1
2025-07-16,12:59:41,@russellversions Bisa nih jadi alasan #.kaburajadulu,Bisa nih jadi alasan kaburajadulu,bisa nih jadi alasan kaburajadulu,bisa nih jadi alasan kaburajadulu,"['bisa', 'nih', 'jadi', 'alasan', 'kaburajadulu']","['nih', 'alasan', 'kaburajadulu']",nih alas kaburajadulu,True,Negatif,0
2025-07-16,11:51:49,@donsgyoung Singlish? Contoh bahasanya apa Sa? Eh terus buat makanan ada tantangannya nggak kebanyakan temenku yang kaburajadulu tuh ngeluhnya di makanan. Apa kamu ngalamin hal yang sama?,Singlish Contoh bahasanya apa Sa Eh terus buat makanan ada tantangannya nggak kebanyakan temenku yang kaburajadulu tuh ngeluhnya di makanan Apa kamu ngalamin hal yang sama,singlish contoh bahasanya apa sa eh terus buat makanan ada tantangannya nggak kebanyakan temenku yang kaburajadulu tuh ngeluhnya di makanan apa kamu ngalamin hal yang sama,singlish contoh bahasanya apa sa eh terus buat makanan ada tantangannya tidak kebanyakan temenku yang kaburajadulu tuh ngeluhnya di makanan apa kamu ngalamin hal yang sama,"['singlish', 'contoh', 'bahasanya', 'apa', 'sa', 'eh', 'terus', 'buat', 'makanan', 'ada', 'tantangannya', 'tidak', 'kebanyakan', 'temenku', 'yang', 'kaburajadulu', 'tuh', 'ngeluhnya', 'di', 'makanan', 'apa', 'kamu', 'ngalamin', 'hal', 'yang', 'sama']","['singlish', 'contoh', 'bahasanya', 'sa', 'eh', 'makanan', 'tantangannya', 'kebanyakan', 'temenku', 'kaburajadulu', 'tuh', 'ngeluhnya', 'makanan', 'ngalamin']",singlish contoh bahasa sa eh makan tantang banyak temenku kaburajadulu tuh ngeluhnya makan ngalamin,True,Negatif,0
2025-07-16,11:46:45,pengen ikut bismillah #KaburAjaDulu,pengen ikut bismillah,pengen ikut bismillah,pengin ikut bismillah,"['pengin', 'ikut', 'bismillah']","['pengin', 'bismillah']",pengin bismillah,True,Positif,1
2025-07-16,11:30:37,@muncorner mau tanya-tanya soal #.kaburajadulu dong kak! ‍,mau tanyatanya soal kaburajadulu dong kak ,mau tanyatanya soal kaburajadulu dong kak ,mau tanyatanya soal kaburajadulu dong kak,"['mau', 'tanyatanya', 'soal', 'kaburajadulu', 'dong', 'kak']","['tanyatanya', 'kaburajadulu', 'kak']",tanyatanya kaburajadulu kak,True,Negatif,0
2025-07-16,11:20:33,@muncorner Hi aku sebagai mantan #.KaburAjaDulu mau temenan dong.,Hi aku sebagai mantan KaburAjaDulu mau temenan dong,hi aku sebagai mantan kaburajadulu mau temenan dong,hi aku sebagai mantan kaburajadulu mau berteman dong,"['hi', 'aku', 'sebagai', 'mantan', 'kaburajadulu', 'mau', 'berteman', 'dong']","['hi', 'mantan', 'kaburajadulu', 'berteman']",hi mantan kaburajadulu teman,True,Negatif,0
2025-07-16,11:20:08,@muncorner Boleh. Tips kaburajadulu dong.,Boleh Tips kaburajadulu dong,boleh tips kaburajadulu dong,boleh tips kaburajadulu dong,"['boleh', 'tips', 'kaburajadulu', 'dong']","['tips', 'kaburajadulu']",tips kaburajadulu,True,Positif,1
2025-07-16,11:19:18,@muncorner hi hmu senior #.kaburajadulu aku juniormu (ceritanya mau nyusul),hi hmu senior kaburajadulu aku juniormu ceritanya mau nyusul,hi hmu senior kaburajadulu aku juniormu ceritanya mau nyusul,hi hmu senior kaburajadulu aku juniormu ceritanya mau menyusul,"['hi', 'hmu', 'senior', 'kaburajadulu', 'aku', 'juniormu', 'ceritanya', 'mau', 'menyusul']","['hi', 'hmu', 'senior', 'kaburajadulu', 'juniormu', 'ceritanya', 'menyusul']",hi hmu senior kaburajadulu junior cerita susul,True,Negatif,0
2025-07-16,11:18:45,@muncorner HIIIII mau temenan plissss aku juga bakal #.kaburajadulu! ,HIIIII mau temenan plissss aku juga bakal kaburajadulu,hiiiii mau temenan plissss aku juga bakal kaburajadulu,hiiiii mau berteman plissss aku juga bakal kaburajadulu,"['hiiiii', 'mau', 'berteman', 'plissss', 'aku', 'juga', 'bakal', 'kaburajadulu']","['hiiiii', 'berteman', 'plissss', 'kaburajadulu']",hiiiii teman plissss kaburajadulu,True,Negatif,0
2025-07-16,11:18:09,@muncorner Tolong kasih aku tip dan trick untuk #kaburajadulu!,Tolong kasih aku tip dan trick untuk ,tolong kasih aku tip dan trick untuk ,tolong kasih aku tip dan trick untuk,"['tolong', 'kasih', 'aku', 'tip', 'dan', 'trick', 'untuk']","['tolong', 'kasih', 'tip', 'trick']",tolong kasih tip trick,True,Negatif,0
2025-07-16,11:16:46,@muncorner mauu siapa tau bisa ikutan #.kaburajadulu,mauu siapa tau bisa ikutan kaburajadulu,mauu siapa tau bisa ikutan kaburajadulu,mau siapa tau bisa ikutan kaburajadulu,"['mau', 'siapa', 'tau', 'bisa', 'ikutan', 'kaburajadulu']","['tau', 'ikutan', 'kaburajadulu']",tau ikut kaburajadulu,True,Negatif,0
2025-07-16,11:16:34,@muncorner Boleh kasih tips aja ga untuk kaburajadulu? Huft capek tinggal di wakanda,Boleh kasih tips aja ga untuk kaburajadulu Huft capek tinggal di wakanda,boleh kasih tips aja ga untuk kaburajadulu huft capek tinggal di wakanda,boleh kasih tips saja tidak untuk kaburajadulu huft capek tinggal di wakanda,"['boleh', 'kasih', 'tips', 'saja', 'tidak', 'untuk', 'kaburajadulu', 'huft', 'capek', 'tinggal', 'di', 'wakanda']","['kasih', 'tips', 'kaburajadulu', 'huft', 'capek', 'tinggal', 'wakanda']",kasih tips kaburajadulu huft capek tinggal wakanda,True,Positif,1
2025-07-16,11:16:16,@muncorner tips and trick #.kaburajadulu nya kak? mw:(,tips and trick kaburajadulu nya kak mw,tips and trick kaburajadulu nya kak mw,tips and trick kaburajadulu ya kak mau,"['tips', 'and', 'trick', 'kaburajadulu', 'ya', 'kak', 'mau']","['tips', 'and', 'trick', 'kaburajadulu', 'ya', 'kak']",tips and trick kaburajadulu ya kak,True,Positif,1
