date,time,steming_data,Score,Sentiment
2025-07-15,14:03:00,lihat revamp company culture company kayak mostly swedish company banget salah statement culture tarik tolak hustle culture fokus slow productivity duh bulan berangkat si swedia bambang,0,negatif
2025-07-15,14:01:01,citacita realita bolos kelas english kali berturutturut,0,negatif
2025-07-15,13:42:12,kaburajadulu bentar,0,negatif
2025-07-15,13:28:25,guys malaysia nih langsung dm orang via instagram ya good luck,1,positif
2025-07-15,13:19:12,nih gua kerja jepang ya warga negara indonesia sana ulah mulu mikir sengaja kah gimana,0,negatif
2025-07-15,12:15:12,ya join hashtag kaburajadulu,1,positif
2025-07-15,11:36:33,chapter mari thread indonesia minggu aussie explore hidup xixixi,0,negatif
2025-07-15,11:25:54,hashtag kaburajadulu tifak jadi warga negara indonesia kabur kesana bikin rusuh negara orang indonesia rusak ya orgnya rusak,0,negatif
2025-07-15,11:22:45,oh ujung,0,negatif
2025-07-15,10:25:21,negeri amp kaburajadulu mudah,0,negatif
2025-07-15,10:22:56,selamatttt kaburajadulu,0,negatif
2025-07-15,09:31:41,ih jarang ketemu laki nikah this economy mending nabung kaburajadulu,1,positif
2025-07-15,09:29:17,balas,0,negatif
2025-07-15,08:41:00,coba kaburajadulu sayang,0,negatif
2025-07-15,07:56:19,noh madafakas kabur negeri especially jerman khusus muslim sila tanggung resiko,0,negatif
2025-07-15,06:36:19,curiga pshsilit suruh pusat biar warga negara indonesia kejepang susah,0,negatif
2025-07-15,06:36:10,kau pikir korban phk skill kau pikir orang skill kau skill teolog bisa angkat bohong nabi,0,negatif
2025-07-15,05:54:00,biar rame mari xocokologi main tebak pendekar voters laku anak abah kaburajadulu eh bikin ulah,0,negatif
2025-07-15,05:36:41,untung negara,0,negatif
2025-07-15,05:07:51,gegara orang udik ngebawa budaya toxic indonesia nih duh capekkk,0,negatif
2025-07-15,04:08:44,negeri kocak jual rumah waris pikir sembari mengubekubek sertifikat aset milik,1,positif
2025-07-15,02:35:05,latih mimpi kakak bawa sungchan ya,1,positif
2025-07-15,02:33:07,indonesia cari kerja susah ayo uk meanwhile uk,0,negatif
2025-07-15,02:00:50,fomo sok lawan arus pakai berita usang stay ibox review ios noh spesialisasi ibox nyebokin perintah pakai argumen kopong anti bela aneh,0,negatif
2025-07-15,01:08:35,hati rencana jerman,0,negatif
2025-07-14,23:56:47,sumpah cewek muslim indonesia kasihan bahaya hati guys orang gila jaman note nyembah bule mulu provider sayang bahaya,0,negatif
2025-07-14,22:55:48,ya iya wkwkwk blacklist indon mah kasih sempat ting,1,positif
2025-07-14,20:59:44,gagal deh orang attitudenya lurus jepang gara jamet kntl laku norak,0,negatif
2025-07-14,18:40:24,biar nikah kaburajadulu wkwk,0,negatif
2025-07-14,17:36:09,usia maksimal lajang alam fresh graduate pakar cari kerja indonesia kurang lapang syarat ribet amp kadang absurd heran muncul,0,negatif
2025-07-14,17:16:10,sesal pantesan warga ri diblacklist jepang pikir kayak lu,0,negatif
2025-07-14,14:34:25,bulat alesan gue,0,negatif
2025-07-14,14:29:56,kak gimana kerja tips ya,1,positif
2025-07-14,14:29:23,kakak ibat another level sih ril sih papih bentar,0,negatif
2025-07-14,14:28:23,guru,1,positif
2025-07-14,12:21:16,saran gue sit yuk biar lingkung suasana orang,1,positif
2025-07-14,12:04:08,admin better tahan people around me kantor kabur amp kerja eropa anxious pintar admin but the point stands pintar amp kembang indonesia consider,1,positif
2025-07-14,11:59:05,habis gue join kaburajadulu mik,1,positif
2025-07-14,11:47:31,konsep ya kaburajadulu dallergut,1,positif
2025-07-14,11:47:04,alhamdulillah reach out kap big middle east moga semesta dukung,1,positif
2025-07-14,11:45:25,tau susah ngerjain kerja dukung perintah tau perintah negeri gurugurunya gaji bpjsnya gratis iri pengin negara gue malas asih tau negara,0,negatif
2025-07-14,11:21:26,tren ya,0,negatif
2025-07-14,09:14:17,wkwkwk ngusahain ya,1,positif
2025-07-14,05:20:25,gengsssss lanjutttt studi korea cuz langsung ceki ceki belajarhaeyo ya konsultasiproofread siapatau gilir loh,1,positif
2025-07-14,05:19:03,system jelek underqualified kualifikasi langit gilir penuh bilang overbudget gilir penuh dikit bilang overqualified stres bro tinggal negara mending kaburajadulu,0,negatif
2025-07-14,04:14:04,gue si dosen universitas negeri gue negeri,0,negatif
2025-07-14,03:06:26,ya pakai hashtag kaburajadulu,1,positif
2025-07-14,03:03:03,dampak,0,negatif
2025-07-14,02:38:01,korea yuk,1,positif
2025-07-14,02:37:25,sok bikin ygy dibanned jp banned id,0,negatif
2025-07-14,02:01:55,hancur bangsa,0,negatif
2025-07-13,22:43:15,cari papah gula,0,negatif
2025-07-13,17:35:40,gue respek orang kaburajadulu,0,negatif
2025-07-13,16:08:04,upgrade cv hashtagkaburajadulu,0,negatif
2025-07-13,14:28:25,menyianyiakan sempat trend kaburajadulu jepang buka lebar orang indonesia,0,negatif
2025-07-13,13:55:53,bawa sih,0,negatif
2025-07-13,13:32:33,kalah kadang diam pergi waras hidup tua sjam,0,negatif
2025-07-13,12:17:36,tolong bawa ya anggap anak jeno foto salah,0,negatif
2025-07-13,11:36:36,marah suruh cari kerja kompeten juta lapang kerja janji cvnya alam oke kalah ordal minimum wage gin harga bahan baku mahal makan wtf dawg,1,positif
2025-07-13,11:32:23,is the best solution dompet gue mumpuni,0,negatif
2025-07-13,11:00:38,biar gue serap negeri,0,negatif
2025-07-13,10:23:47,wkwk dadak nyomot tau kaburajadulu,0,negatif
2025-07-13,06:51:38,indonesia kenal kewarganegaraan kaum kaburajadulu wacana forever,0,negatif
2025-07-13,04:56:55,wninya hapus adek minat kaburajadulu bahan dunia isi kakak adek i love you istri please habisin umur hidup sayang,0,negatif
2025-07-13,03:27:30,bandung minggu malas parkirparkir kirim oleholeh penginepan langsung angkut fokus wisata malas etapi negara maju beli ya,1,positif
2025-07-13,00:23:23,intaiintai,0,negatif
2025-07-12,19:16:45,teman hasil kaburajadulu doa bisaaaaa banget cao ktp ganti minimal,1,positif
2025-07-12,18:23:07,metik cabe lempeng banget aaowkaowkoakwoakw,0,negatif
2025-07-12,17:57:40,neb orang lu tinggal,0,negatif
2025-07-12,17:26:06,lempar ketapel sengaja kena kaburajadulu o o,0,negatif
2025-07-12,16:38:27,realisasi,0,negatif
2025-07-12,16:09:51,thai hahaha,0,negatif
2025-07-12,15:33:57,a orang olanda rotzooi realistis,1,positif
2025-07-12,15:33:32,startup tarik paid ads mutuals kbtulan tmnan cowok fo ya kepo gapai cari peluang indonesia poin bahasa kuat leverage ya,1,positif
2025-07-12,13:29:22,tarif agen migran legal turki disalurin pabrik hospitality poland slovakia disalurin pabrik malay singapore gratis jenjang karirnya nanny,0,negatif
2025-07-12,12:26:23,raw pakai vpn kaburajadulu kenal indoneseh,0,negatif
2025-07-12,11:37:59,orangorang ngenyekin bidang selucrativedinamisbanyak tawar anak techfinance finance gue bilang dinamis mbak gue offer headhunter qatar dubai maklum jebol uni swedia sih,0,negatif
2025-07-12,10:09:34,warga pragib kaburajadulu,0,negatif
2025-07-12,09:59:05,secured for qatar airways flight jakartadohaturkiye pesan tiket pesawat murah langsung dm ya,1,positif
2025-07-12,09:47:26,rame tagar perintah kesel emosi bilang nasionalis cari kerja indonesia susah saran rantau negeri babik,0,negatif
2025-07-12,09:42:31,bantu harga bahan pokok murah masyarakat bikin sih koperasi merah putih kayak tau culture ngutang pinjam pinjam indonesia ujung pigimane ah,0,negatif
2025-07-12,09:06:58,enak,0,negatif
2025-07-12,08:35:29,deret negara buka lowong,0,negatif
2025-07-12,08:29:58,syukur kaburajadulu duh orang model otak sih,1,positif
2025-07-11,15:40:42,amin kak realisasi but thank youuu,0,negatif
2025-07-11,15:13:11,bantu kak bahas jet lapang pekerjan indonesia emas kaburajadulu sentimen positif lumayan bahas,1,positif
2025-07-11,14:47:17,alas kaum kalah negara laku malu luar negeri rusuh,0,negatif
2025-07-11,14:12:14,asik,1,positif
2025-07-11,13:36:51,lho,0,negatif
2025-07-11,13:24:02,untung sih igi bahagia kaburajadulu wonosobo,0,negatif
2025-07-11,13:22:11,teman teman niat mending urung beli,0,negatif
2025-07-11,13:10:33,yuk,1,positif
2025-07-11,12:44:32,putus hidup gaul orang lokal tonton amp baca berita debat amp diskusi media gaul warga negara indonesia eksil ajar sejarah indonesia trend,0,negatif
2025-07-11,12:40:56,mau kaburajadulu,0,negatif
2025-07-11,12:24:28,rockhampton queensland teman indonesia working holiday visa adu nasib whv favorit syarat duduk australia klik link video hubung,0,negatif
2025-07-11,11:41:53,mending stay indonesia kaburajadulu,0,negatif
2025-07-11,11:06:55,ihan bawa gitarbass gue kaburajadulu,0,negatif
2025-07-11,10:40:07,sesuai skenario,1,positif
2025-07-11,10:39:29,hitung bikin hashtag,1,positif
2025-07-11,10:10:04,warga princess noa,0,negatif
2025-07-11,10:09:26,ya tinggal uninstal beres biar,1,positif
2025-07-11,09:43:49,tolong up om susah banget kampret lpk edukasi evaluasi minimal rese kasih sapa kayak,0,negatif
2025-07-10,16:30:32,iri share tips kak,0,negatif
2025-07-10,16:03:05,orang usaha mau,0,negatif
2025-07-10,15:47:52,better sih kak,0,negatif
2025-07-10,15:30:26,kecam nasionalisme sanggup sedia lapang kerja,1,positif
2025-07-10,15:11:17,mine first pengin keliling dunia trading business analyst refill case habis total sih untung keliling dunia wkwk,0,negatif
2025-07-10,14:23:31,hubung gue moga hidup gue aman tentram nyaman,1,positif
2025-07-10,14:09:30,kemarin gera kena nyinyir suruh cari kerja kocak,0,negatif
2025-07-10,13:12:40,oh tuju ya hashtag kaburajadulu,1,positif
2025-07-10,12:51:05,kaburajadulu versi company,0,negatif
2025-07-10,12:50:54,kaburajadulu yuk by,1,positif
2025-07-10,12:39:47,angkasa,0,negatif
2025-07-10,12:23:24,pencet cimot kaburajadulu,0,negatif
2025-07-10,11:53:49,rekomendasi,0,negatif
2025-07-10,11:41:05,dapur ngebul asih jajan orang tua biayain kuliah adik wamenyg mencak hashtag nepatin janji juta lapang kerja gampang iyain menaker cari kerja negeri,0,negatif
2025-07-10,10:12:05,orang pengin kaburajadulu kerja negeri sempat kerja negeri jaga nama bikin jelek reputasi warga negara indonesia malu,1,positif
2025-07-10,10:01:47,iya program transmigrasi celestia,0,negatif
2025-07-10,09:50:29,semangat om rezeki pepatah hujan emas negeri orang hujan batu negeri negeri orang om,1,positif
2025-07-10,09:12:27,xixixix hamdalah,0,negatif
2025-07-10,08:56:27,sian otw,0,negatif
2025-07-10,08:31:13,cocok ya gue temu meni pakai hashtag,1,positif
2025-07-10,08:11:23,taglinenya traveloka,0,negatif
2025-07-10,07:48:09,kaburajadulu china ketemu shaoji bby main,1,positif
2025-07-10,07:47:45,korporasi,0,negatif
2025-07-10,07:46:25,mending kaburajadulu kali pintar,0,negatif
2025-07-10,07:38:30,ya allah kaburajadulu perahu,1,positif
2025-07-10,07:14:03,pas ya kondisi sdm kayak,1,positif
2025-07-10,06:56:21,paham betapa inhumanenya perintah oligarki pengin meni ampberanak opsi baik mahal tempat manusia manusia,1,positif
2025-07-10,06:53:09,realisasi kaburajadulu ya,0,negatif
2025-07-10,06:29:41,mampus minggat asih hashtag,0,negatif
2025-07-10,06:05:43,asli nul mending kaburajadulu,1,positif
2025-07-10,05:17:44,kita mending,0,negatif
2025-07-10,04:55:20,gue join trend anjingggg ah bego,1,positif
2025-07-10,04:42:09,suka sono kaum bacot,0,negatif
2025-07-10,03:41:39,bismillah moga tembus,1,positif
2025-07-09,16:48:25,hujan batu negeri ketimbang hujan emas negeri orang mohon maaf pribahasa kynya laku rakyat konoha negeri orang jamin aman kesejehteraan hukum ditegakkanmending,0,negatif
2025-07-09,16:46:12,si jalan si lo bawa manfaat kerja apa nguli kayak jalan batu loncat jalan peluang buka,0,negatif
2025-07-09,16:09:33,rusia impor tki juta orang tki i india,1,positif
2025-07-09,16:04:41,mana muak negara kaburajadulu kabur murah,0,negatif
2025-07-09,15:21:36,hashtag ya kaburajadulu healingajadulu sapa,1,positif
2025-07-09,14:37:54,kayak main siap matang buru sana kalem mudah btw nada telp itum kecewa banget paham orang edukasi sih dian neo japan channel,1,positif
2025-07-09,14:23:52,singapura,0,negatif
2025-07-09,14:12:16,jadi bahas nih bela jepang kerja maling kabur maling,1,positif
2025-07-09,13:36:07,salam kenal asmin angkasa pakai hashtag kaburajadulu nih,0,negatif
2025-07-09,13:13:17,kemarin ngomel bilang budaya rantau jaga lisan bicara jejak digital lho,0,negatif
2025-07-09,12:42:34,statement luhut perihal emang orang negeri orang wkkwk,0,negatif
2025-07-09,12:34:42,kasihan nasib mu abang capek kuliah oxford biaya hitung ojol pikir,1,positif
2025-07-09,12:28:51,sjw kaburajadulu komen,0,negatif
2025-07-09,12:10:27,perintah singkron kemarin bahlul bilang nasionalisme ya becus ngelola negara sih kang nasi babi nyuruh rantau negeri tolol,0,negatif
2025-07-09,12:08:18,negara sinting anjing,0,negatif
2025-07-09,11:55:46,negara idiot gedung otak dengkul sinkron bilang nasionalis bikin statement,0,negatif
2025-07-09,00:00:31,kanan sing,1,positif
2025-07-08,16:30:28,gue narasi kampanye kaburajadulu salah kabur kuat ngusir koruptor jujur indonesia nyaman banget anjir fak,0,negatif
2025-07-08,16:13:21,haderrehhhhh nih,0,negatif
2025-07-08,15:30:00,kepala kantor komunikasi presiden presidential communication office pco hasan nasbi indonesia milik budaya rantau,1,positif
2025-07-08,15:27:56,stop banding susah mudah dar pengin butuh mampu bahasa,0,negatif
2025-07-08,15:27:47,permanent resident xinzhou ya sis kaburajadulu,1,positif
2025-07-08,13:43:17,benerbener teman gue proses korea taiwan jerman australia jepang austria kayak gue tinggal indonesia,0,negatif
2025-07-08,13:19:43,main pada terjal liga ya iya orang main pilih tunggu pasti hehe sisa abai umur tambah ujung pilih realistis keluarga,0,negatif
2025-07-08,13:09:00,milihnya jerman kak jujur pilih ausbildung jerman turut negara dikaburajaduluin jerman tuh jenjang karirnya selesai program ausbildung pegawai sana pindah negara uni eropa,0,negatif
2025-07-08,12:52:04,mumpung muda,0,negatif
2025-07-08,12:51:10,gas harmonia,0,negatif
2025-07-08,12:30:26,tepis hasan nasbi lapang kerja budaya indonesia rantau lapang kerja indonesia pilih negeri tarik apaapa jakarta selasa biasa budaya rantau,1,positif
2025-07-08,11:38:43,ajak gue siii,1,positif
2025-07-08,11:33:19,mamam noh negara barat puja indon libs oikophobic kena syukur kena,0,negatif
2025-07-08,10:50:18,capek benar mbatin moga lelah buah hasil kaburajadulu,1,positif
2025-07-08,10:14:06,meanwhile fasis,0,negatif
2025-07-08,09:57:00,prabowo bilang kaburajadulu pakai beasiswa negara eits derita ayo derita kecuali gue,0,negatif
2025-07-08,09:31:39,salah dampak,0,negatif
2025-07-08,09:22:41,ya xiixiixiixixi,1,positif
2025-07-08,08:18:24,bjir emang uk kayak gin wkwk,0,negatif
2025-07-08,08:10:47,teman kak ros,0,negatif
2025-07-08,05:45:42,negara nak lingkup rakyat isu yawlohhhh yaudehhhh salah malisyia,0,negatif
2025-07-08,05:23:41,moga kena diskriminasi parah,0,negatif
2025-07-08,05:21:25,negeri,0,negatif
2025-07-08,04:48:00,orang ekonomi baikbaik sih,0,negatif
2025-07-08,04:33:59,emas rolex perak rolex turkikorsel,0,negatif
2025-07-08,04:04:31,tagar termul terima tuduh nasionalis sakit hati kalah pilpres eh fakta phk lap kerja syulit menteri menghimbau cari kerja negeri termul amp jilat bansos auto mingkem,0,negatif
2025-07-08,03:07:24,masyarakat demo hak cabut suara manusia sound horeg suka tidur rumah susah paham,0,negatif
2025-07-08,02:55:15,salah sih nderr remote jobs is great job this economy a grain of your salary means a lot for many unemployed this nation lulus negeri paham lingkung gampang aja comeback negeri mari pengin cepat,0,negatif
2025-07-08,01:54:25,salah sekian program yahudi kaya budaya barat,0,negatif
2025-07-08,01:50:38,tandatanda suruh kak,0,negatif
2025-07-07,18:54:25,dm uk biaya hidup minimal gaji biar pattern kaget mahal sisa tabung segitu well motivasi ngumpulin uang uk tuju kabur sih,0,negatif
2025-07-07,18:50:01,hsjshdjsh aminin tau next timenya wisata hasil kaburajadulu,0,negatif
2025-07-07,15:44:44,india nya,0,negatif
2025-07-06,12:35:14,share info kerja proses kerja dubai gaji aed biaya berangkat inap tanggung tau rejeki kaburajadulu websitenya,1,positif
2025-07-06,12:15:57,solusi kaum tambah this economy pilahpilih kerja keburu depan gelap,1,positif
2025-07-06,12:15:34,trend kaburajadulu kah,0,negatif
2025-07-06,11:06:20,kak kaburajadulu ya,1,positif
2025-07-06,10:40:44,us,0,negatif
2025-07-06,09:34:26,peduli statement bodoh tau indonesia negara nonblok tuh terimakasih pelopor pengin indonesia awokawok ngentot mati negara orang pindah indonesia oops,0,negatif
2025-07-06,09:25:23,spanyol rajin tidur siang warga jermanbelanda barubaru korsel,0,negatif
2025-07-06,08:38:57,kalo singgah jakarta total keluar tonton akomodasi dll mahal nontonplesir negara tetangga,0,negatif
2025-07-06,08:28:03,lets get married and kaburajadulu kesini,0,negatif
2025-07-06,08:07:59,teman jepang gue biang orang jepang rame kesini gue jir negara warga mikir wkkwk,0,negatif
2025-07-06,08:05:49,as orang keliling pulau jawa fasilitas kota kalah sih ya hun tagar kaburajadulu job vacancy jabodetabek macet volume kendara tldr indonesia jakarta,0,negatif
2025-07-06,06:48:56,orang harga ya mending atlet butuh duit makan ya,1,positif
2025-07-06,05:49:19,sometimes mikir ekonomi stug progres pengin yadah siapin diru ajar english din nabung ngumpulin modal wkwk,0,negatif
2025-07-06,05:48:38,negara eropa salju,0,negatif
2025-07-06,04:51:29,enak sih kak,0,negatif
2025-07-05,20:25:39,gua salah realized bobrok,0,negatif
2025-07-04,15:00:18,work sender panggil assesment usaha dubai dapetnya linkedin kaburajadulu coba cari linkedin locnya ganti worldwide minder orang pintar sometimes kalah orang untung,0,negatif
2025-07-04,14:38:26,bingung,0,negatif
2025-07-04,14:24:54,citacitanya swiss,0,negatif
2025-07-04,14:22:10,hhhhh moga cepat,1,positif
2025-07-04,13:37:30,perintah bacot mulu kerja warga indonesia negeri siapin mental fisik tahu negara tuju biar mudah urus semangat,1,positif
2025-07-04,13:33:55,oy tkw tkw itunaah cak begawe kasar kaburajadulu artis ekebi ya maksud,1,positif
2025-07-04,13:31:21,kali pesawat as an adult,0,negatif
2025-07-04,12:04:29,wkwkwwk,0,negatif
2025-07-04,12:00:45,email vendor nama carer potential siwer aing baca career potential degan akoohh gas,0,negatif
2025-07-04,11:44:06,besok pokok pakai tren amin muak banget lihat orang orang kayak,0,negatif
2025-07-04,10:20:25,yoii join trend wkwk,1,positif
2025-07-04,09:53:40,mau sih ajg kaburajadulu trending katai warga nasionalisme ngusir warga nyuruh cari kerja negeri ajg,0,negatif
2025-07-04,09:53:02,anggap negatif suruh cari kerja negeri mahasiswa khawatir kuliah susah cari kerja tonton cari kerja lengkap youtube,0,negatif
2025-07-04,09:47:47,kerja kena gerebek kosan kena gerebek sabe jebak macet demo bawa arus jalur apbn,0,negatif
2025-07-04,09:47:00,pemda sidi korupsi trilyunan menteri didik ya menteri halah kena ott rakyat gue,0,negatif
2025-07-04,09:43:06,tuyul hasil nerapin,0,negatif
2025-07-04,09:24:32,tren kaburajadulu goda,0,negatif
2025-07-04,09:17:15,kemarin nyuruh gir gaung viral langsung omong maaap nih bunda lapang kerja mata kualifikasi kalah namamanya titip,0,negatif
2025-07-04,09:16:51,bisa duluan gue iri,0,negatif
2025-07-03,15:44:12,hashtagkaburajadulu,0,negatif
2025-07-03,15:25:59,iri sempat waktu stresssss warga negara indonesia,0,negatif
2025-07-03,14:39:05,negeri orang bikin rusuh plokkkk,0,negatif
2025-07-03,14:21:32,mantauin email dar tiket tunggu bismillah kaburajadulu ya ala gue,1,positif
2025-07-03,13:48:06,hasil tambang untung jabat tambun rakyat kencang ikat pinggang negara kayak rakyat ya miskin hutang negara tambah n e h e pajak hasil coba,0,negatif
2025-07-03,13:22:10,mana sih pik,0,negatif
2025-07-03,13:18:56,amsterdam sono dikit,0,negatif
2025-07-03,13:03:38,gue takdir tumbuh indonesia ya itusih kaya inti,1,positif
2025-07-03,12:50:28,apaapa pas presiden,1,positif
2025-07-03,12:27:58,dukung kakak dwi,1,positif
2025-07-03,12:16:20,ketangkep nih cerita,0,negatif
2025-07-03,11:46:18,jepang salah tuju orang cari kerjaamppendidikan salah tuju rame bahas pas rame hashtag kaburajadulu fenomena kriminal warga negara indonesia tutup nih pintu kalo tutup minimal ketat,0,negatif
2025-07-03,11:34:55,weh lucu banget plis tolak homesick gue bismillah,1,positif
2025-07-03,11:27:11,niat hama negeri orang,0,negatif
2025-07-03,11:21:54,kabur larang ha ha ha ha,0,negatif
2025-07-02,11:39:12,aya lowong teu kituh urang mikiran trotoar aspal,1,positif
2025-07-02,11:32:59,kemarin pengin kaburajadulu dukung cari kerja negeri protes ah dasar,0,negatif
2025-07-02,10:28:46,ayo ambil biar kaburajadulu kecewa negara heu,0,negatif
2025-07-02,10:25:28,maaf gue post draft pas sg semalem tgr mint,1,positif
2025-07-02,09:38:47,ngancurin harap fakta kuliah susah banget cari kerja kaburajadulu gue duit lu sempat gede pas nganggur gap time duit mepet susun rencana mangat gaes,0,negatif
2025-07-02,09:30:38,mana enak ya,1,positif
2025-07-02,09:02:04,iya maksa anak cepat kasih baik anak kasihan stay indonesia,0,negatif
2025-07-02,08:42:06,makassar takut coret kakak,0,negatif
2025-07-02,07:45:48,gagal garagara bahasa ajar yuk bareng jepang koey kelas basicnya intip link bio biar paham ramen paham seleksi langsung pakai hashtag,0,negatif
2025-07-02,07:33:41,lucu gilir perintah marah gimana pandang warga negara indonesia serba salah cus share,0,negatif
2025-07-02,06:51:17,piranti ngetwit buat asing sih osang asing osang asing roda ekonomi putar ya salah konsumtif lagak kayak sih cinta tanah air saat pengin trend kaburajadulu sana,0,negatif
2025-07-02,05:55:52,hai temanteman gen alfrina teliti hubung motivasi gen rantau negeri yuk bantu isi kuesioner singkat partisipasi terima kasih,1,positif
2025-07-02,05:55:16,kemarin katai cinta negara eh suruh pergi pakai,0,negatif
2025-07-02,05:45:54,apply banyak posisi data science amp analytics lowong engineering challenge besar orang indonesia bidang data komunikasi ds jago banget verbal amp written communication query plus,1,positif
2025-07-02,05:24:13,emang suruh itumah kaburajadulu,0,negatif
2025-07-02,05:16:22,perintah otw ngebanned band line kemarin trend bikin perintah kasih bijak ngeblhin warga kabur,0,negatif
2025-07-02,05:10:57,masuk doa gue sekalia pengin kaburajadulu kabul hiks,0,negatif
2025-07-01,12:07:47,eropa kasih uang saku migran jepang selamat agenda,1,positif
2025-07-01,12:00:33,dengar orang bilang kaburajadulu negara anggap imigran,1,positif
2025-07-01,11:42:26,titik follow campus negeri,0,negatif
2025-07-01,11:08:02,jepang negara favorit lover debt rationya ngotak mana hutang domestik,0,negatif
2025-07-01,09:01:08,loker kaburajadulu,0,negatif
2025-07-01,08:34:36,sekali restu,0,negatif
